keyword,category,title,price,extracted_price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail,installment_price,installment_months,currency
iphone,mobile,Apple iPhone 14,$289.00,289.0,289.0,4.5,48000.0,Back Market,11,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:11079545061416596281,productid:15332876627187687969,headlineOfferDocid:887177525630168611,imageDocid:6786202627893910781,rds:PC_8053804293482199477|PROD_PC_8053804293482199477,gpcid:8053804293482199477,mid:576462684717173784,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQgEuFPibSmzAk6XzHqyK-Ny-qYlCtoJwSvSg_v8aOh-ySNhaN1nnftKcvggmO41Yy6nBxJT8VBIt8nve2tRmMdiBzzFzSzMA6StTbSvSJGNpiPFoEg88L3amk,,,USD
iphone,mobile,Apple iPhone 12,$199.99,199.99,199.99,4.3,48000.0,Best Buy,12,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:6270153989176538177,productid:12172221524434716754,headlineOfferDocid:274900493913933400,imageDocid:16209370223521594763,rds:PC_435984501635772740|PROD_PC_435984501635772740,gpcid:435984501635772740,mid:576462900638141113,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTgo4BHrfEHcpWYYPHAhgnika-3SwH_vfbZM40y8EaaA3iAQLSl9UUt2yc4xqdl6MK4KALPlHR-rhq04OuIHLMqmeS52VkmHQIUkZkB9bEp8GOaliDRvskr,,,USD
iphone,mobile,Apple iPhone 13,$206.80,206.8,206.8,4.6,83000.0,Walmart - UPGRADE SOLUTION INC,13,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:6459989864881593991,productid:9312202635691942211,headlineOfferDocid:7317541762010976533,imageDocid:17046991344989722455,rds:PC_8971650804785857268|PROD_PC_8971650804785857268,gpcid:8971650804785857268,mid:576462624134816700,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSidLpJLHu3empPMbSOuskgQIe1WC0d41y4EQB2gI6EE0yARHcZupFH1EyAezjHP8dU766OmaPXsk7y0W6i5kLmISAl--fDYQkF1nE5cV34yfAQeenoTavt4A,,,USD
iphone,mobile,Apple iPhone 15 - Black - 128GB (with 24 monthly payments + plan),$26.25/mo,26.25,26.25,4.7,54000.0,T-Mobile,14,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:13528523097997182821,headlineOfferDocid:13528523097997182821,imageDocid:11083866937706273567,rds:PC_6601648695432433635|PROD_PC_6601648695432433635,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRX2OAgKWhI8zye1GJb8DXGaeSGIKkMbeAl5TLySJz1R3KCKzpl3SHHMdjM6BiWXFefN_OU2cwVGdxPqcD61o-5BC_dMv2Gpw,26.25,24.0,USD
iphone,mobile,Apple SE Watch,$111.00,111.0,111.0,4.5,56000.0,Best Buy,15,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:9279261589196400269,productid:18370435570490061949,headlineOfferDocid:13964468391351931051,imageDocid:13299854110788581677,rds:PC_8360109243546355642|PROD_PC_8360109243546355642,gpcid:8360109243546355642,mid:576462796319228210,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTYZXQNOvjFQ6eJaCjuHnnCTNR1e0mI05togpja5D96yXg2W6dDoNjOlLjpGj9Ecv8D2bTP0AKJmvVDNY4D3mZczb8OvicnUoD7SIdplpw,,,USD
iphone,mobile,Apple iPhone 14 Plus,$288.00,288.0,288.0,4.4,12000.0,Back Market,16,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:17759963551893261990,productid:12992476157141530242,headlineOfferDocid:14260456868963301000,imageDocid:10119392737011642904,rds:PC_9468624372169813779|PROD_PC_9468624372169813779,gpcid:9468624372169813779,mid:576462725296367088,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRO318hyTYV0jdBaP1aXwXpa0DP8lJC_9gL0X4Ns8xkLvDsxLr3rpDxR7YUHoqSLylVs4EBkp_bU0NiXOFA2Y7sgFwgESj-wsW7SyRSvBg,,,USD
iphone,mobile,Apple iPhone 11,$164.99,164.99,164.99,4.4,78000.0,eBay - itsworthmore,17,Free delivery by Sat,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:12308287955179192352,productid:9418620838065947476,headlineOfferDocid:7164042384207127214,imageDocid:16942952539938851942,rds:PC_8023149794696260886|PROD_PC_8023149794696260886,gpcid:8023149794696260886,mid:576462319911438051,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQQsaqwPa29yp1aB3sxe8Qgf0Vz_wfGZ4PIQfJRDYXFFu78IZnGPtcclXXBr8ZcU7HaH03tzhfOyoY8q1DCuAq22kLdlHeFxgpBBK5pEw,,,USD
iphone,mobile,Apple iPhone 15 Plus,$649.99,649.99,649.99,4.6,9300.0,Target,18,Free delivery by Wed,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:11555061121306309403,productid:8717589437035082366,headlineOfferDocid:13433222919456360327,imageDocid:15938390727334850152,rds:PC_4702526954592161872|PROD_PC_4702526954592161872,gpcid:4702526954592161872,mid:576462756293218671,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR2E0VXoNPHMs6jsQCZvv3cG42zZL3O3Bqb11iUjo83sasGiIPu0m-EUATZZ6CSe-8dAdI1Iro4GRo3sfFpEKe8mc0ZBtrx,,,USD
iphone,mobile,APPLE IPHONE 13 MINI,$265.00,265.0,265.0,4.3,12000.0,Back Market,19,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:14037241831600444795,productid:14425901739575060819,headlineOfferDocid:3186543980287332687,imageDocid:6287644585621070210,rds:PC_7247330322390165966|PROD_PC_7247330322390165966,gpcid:7247330322390165966,mid:576462836122922296,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQDAn0AqyZY-xsMH0pwPomV1W7hNQeappCEG2oo2RvZcLHj0Y5kRSWxbSqehuy-BWyBqbSliKHOJMHPyk1gcDQ2hoLuI4NiXcjAg6zOFss5,,,USD
iphone,mobile,Apple iPhone 12 Mini,$183.95,183.95,183.95,4.3,24000.0,Walmart - YYWireless,20,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:8603702075097955153,productid:6082243813320672013,headlineOfferDocid:15952889374721285667,imageDocid:11862759314172590521,rds:PC_14561671209714996631|PROD_PC_14561671209714996631,gpcid:14561671209714996631,mid:576462876919225707,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQEysJcE4uWCnt_vTzFj1Uh7iNJKDyIKtq1lEaC_vIYBaGZchXo44VtS033XMwNWqVWdz_bJ-kNhbAT-mt_5I47Wv3rrPUi,,,USD
